GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
3241	1.92e-01	6.90e-04	0.1743	-3.3937094	-0.59164704	226.07	HPCAL1	hippocalcin like 1
132720	1.92e-01	6.96e-04	0.4896	-3.391	-1.66020362	32.58	FAM241A	family with sequence similarity 241 member A
222171	1.97e-01	7.29e-04	0.2438	-3.3784941	-0.82352607	199.17	PRR15	proline rich 15
644660	1.99e-01	7.47e-04	0.254	3.3717399	0.85630452	77.11	RAD21-AS1	RAD21 antisense RNA 1
4558	2.02e-01	7.70e-04	0.6097	3.3632815	2.05051694	30.79	TRNF	tRNA-Phe
3716	2.02e-01	7.94e-04	0.1294	-3.354937	-0.43403986	1993.39	JAK1	Janus kinase 1
100288152	2.02e-01	7.92e-04	0.3319	-3.3554839	-1.11367365	90.23	SLC9A3-AS1	SLC9A3 antisense RNA 1
80323	2.05e-01	8.15e-04	0.9901	-3.3475805	-3.31458159	15.99	CCDC68	coiled-coil domain containing 68
6461	2.22e-01	9.09e-04	0.3416	-3.3172368	-1.13305857	306.05	SHB	SH2 domain containing adaptor protein B
25878	2.22e-01	8.99e-04	0.8877	-3.3205167	-2.94775134	367.48	MXRA5	matrix remodeling associated 5
9839	2.23e-01	9.70e-04	0.7388	3.299184	2.43753572	11.95	ZEB2	zinc finger E-box binding homeobox 2
286133	2.23e-01	9.73e-04	0.6008	-3.2983174	-1.98168797	23.51	SCARA5	scavenger receptor class A member 5
2984	2.23e-01	9.40e-04	0.3342	-3.307844	-1.10558325	32.28	GUCY2C	guanylate cyclase 2C
7023	2.23e-01	9.34e-04	0.1386	3.3095757	0.4588119	559.73	TFAP4	transcription factor AP-4
4772	2.23e-01	9.78e-04	0.2213	-3.2966853	-0.72959056	263.82	NFATC1	nuclear factor of activated T cells 1
55086	2.27e-01	1.01e-03	0.2504	-3.2877385	-0.8231917	281.99	RADX	RPA1 related single stranded DNA binding protein, X-linked
8515	2.28e-01	1.04e-03	0.7544	-3.2801153	-2.4744146	19.32	ITGA10	integrin subunit alpha 10
843	2.28e-01	1.05e-03	0.9696	-3.2757652	-3.17616784	131.84	CASP10	caspase 10
27086	2.28e-01	1.08e-03	0.2304	-3.269313	-0.75332811	511.96	FOXP1	forkhead box P1
6691	2.28e-01	1.10e-03	0.805	-3.2645577	-2.62807124	12.81	SPINK2	serine peptidase inhibitor Kazal type 2
3842	2.28e-01	1.06e-03	0.1076	3.2732104	0.35205752	9404.32	TNPO1	transportin 1
10788	2.28e-01	1.11e-03	0.1779	-3.2622526	-0.58026675	4160.47	IQGAP2	IQ motif containing GTPase activating protein 2
3710	2.28e-01	1.10e-03	0.1248	-3.2648295	-0.4073653	3177.65	ITPR3	inositol 1,4,5-trisphosphate receptor type 3
126792	2.38e-01	1.17e-03	0.1786	-3.2472846	-0.57984804	239.36	B3GALT6	beta-1,3-galactosyltransferase 6
85352	2.48e-01	1.23e-03	0.2408	3.23219	0.77821801	203.95	SHISAL1	shisa like 1
118429	2.57e-01	1.29e-03	0.2514	-3.2186741	-0.80932677	339.82	ANTXR2	ANTXR cell adhesion molecule 2
360200	2.57e-01	1.31e-03	0.2867	-3.2147869	-0.92166032	53.16	TMPRSS9	transmembrane serine protease 9
80329	2.70e-01	1.38e-03	1.1693	-3.1979266	-3.73938854	177.23	ULBP1	UL16 binding protein 1
23550	2.74e-01	1.44e-03	0.3524	-3.1873506	-1.12335562	40.72	PSD4	pleckstrin and Sec7 domain containing 4
2650	2.74e-01	1.44e-03	0.8434	-3.1871557	-2.68805457	1843.24	GCNT1	glucosaminyl (N-acetyl) transferase 1
6507	2.79e-01	1.48e-03	0.1651	-3.1780392	-0.52476202	530.24	SLC1A3	solute carrier family 1 member 3
10232	2.83e-01	1.52e-03	1.4593	-3.1709362	-4.62732956	67.08	MSLN	mesothelin
51015	2.85e-01	1.60e-03	0.214	3.1568099	0.67554367	710.03	ISOC1	isochorismatase domain containing 1
6310	2.85e-01	1.60e-03	0.5847	-3.1564312	-1.8454113	276.22	ATXN1	ataxin 1
26031	2.85e-01	1.55e-03	0.1818	-3.164455	-0.57521438	666.54	OSBPL3	oxysterol binding protein like 3
51496	2.85e-01	1.59e-03	0.1005	3.1570265	0.31728725	2239.69	CTDSPL2	CTD small phosphatase like 2
2335	2.86e-01	1.65e-03	0.3079	-3.14746	-0.96897662	3428.41	FN1	fibronectin 1
23412	2.86e-01	1.62e-03	0.7491	-3.1527133	-2.36155767	75.85	COMMD3	COMM domain containing 3
619383	2.86e-01	1.64e-03	0.2811	3.1486707	0.88498304	46.23	SCARNA9	small Cajal body-specific RNA 9
117581	2.97e-01	1.75e-03	0.3592	-3.1304872	-1.12434224	100.89	TWIST2	twist family bHLH transcription factor 2
84159	2.97e-01	1.76e-03	0.6601	-3.1275305	-2.06462752	103.93	ARID5B	AT-rich interaction domain 5B
5151	2.97e-01	1.75e-03	0.2554	-3.1298902	-0.79936858	424.5	PDE8A	phosphodiesterase 8A
79890	2.98e-01	1.79e-03	0.5227	-3.1237825	-1.63274582	76.67	RIN3	Ras and Rab interactor 3
9645	3.16e-01	1.91e-03	0.2956	-3.1033416	-0.91744516	45.9	MICAL2	microtubule associated monooxygenase, calponin and LIM domain containing 2
724102	3.20e-01	1.97e-03	0.1996	3.0943057	0.61751417	323.71	SNHG4	small nucleolar RNA host gene 4
55902	3.20e-01	1.97e-03	0.4575	-3.0951676	-1.41595314	1614.38	ACSS2	acyl-CoA synthetase short chain family member 2
387882	3.21e-01	2.00e-03	0.1485	-3.0905505	-0.45903169	479.94	C12orf75	chromosome 12 open reading frame 75
105374140	3.25e-01	2.06e-03	0.5176	3.081366	1.59478169	21.87	LOC105374140	uncharacterized LOC105374140
11153	3.25e-01	2.08e-03	0.3283	-3.0783951	-1.0106675	85.81	FICD	FIC domain protein adenylyltransferase
84981	3.25e-01	2.07e-03	0.9429	-3.0803071	-2.90448402	36.06	MIR22HG	MIR22 host gene
55281	3.31e-01	2.16e-03	0.3261	-3.066803	-1.00011464	134.99	TMEM140	transmembrane protein 140
100128927	3.31e-01	2.18e-03	0.444	-3.0651957	-1.36089119	74.97	ZBTB42	zinc finger and BTB domain containing 42
284385	3.31e-01	2.18e-03	0.4203	3.064619	1.28809835	62.76	ZNF561-AS1	ZNF561 antisense RNA 1 (head to head)
56164	3.34e-01	2.22e-03	0.8236	-3.0592974	-2.51962636	27.46	STK31	serine/threonine kinase 31
6697	3.50e-01	2.36e-03	0.2354	-3.040993	-0.71570538	172.54	SPR	sepiapterin reductase
92806	3.50e-01	2.36e-03	0.1963	-3.0402382	-0.59674599	197.37	CENPBD1P	CENPB DNA-binding domain containing 1, pseudogene
8030	3.51e-01	2.39e-03	0.1264	3.0368554	0.3839525	2135.66	CCDC6	coiled-coil domain containing 6
9026	3.51e-01	2.41e-03	0.6428	-3.0348302	-1.95071526	486.21	HIP1R	huntingtin interacting protein 1 related
25960	3.56e-01	2.46e-03	0.2953	-3.028086	-0.89415118	190.87	ADGRA2	adhesion G protein-coupled receptor A2
25932	3.66e-01	2.62e-03	0.1102	3.0092524	0.33161331	10447.65	CLIC4	chloride intracellular channel 4
149466	3.66e-01	2.69e-03	0.368	-3.0015257	-1.10445776	106.55	C1orf210	chromosome 1 open reading frame 210
1378	3.66e-01	2.70e-03	1.0189	-2.9998615	-3.05667199	31.35	CR1	complement C3b/C4b receptor 1 (Knops blood group)
80067	3.66e-01	2.61e-03	0.1451	3.0102738	0.43671156	1363.57	DCAF17	DDB1 and CUL4 associated factor 17
7294	3.66e-01	2.70e-03	1.1441	-2.9994386	-3.43175662	44.96	TXK	TXK tyrosine kinase
4188	3.66e-01	2.72e-03	0.1963	-2.9973275	-0.58842023	2279.84	MDFI	MyoD family inhibitor
2091	3.66e-01	2.69e-03	0.1569	3.0013602	0.47088586	7065.53	FBL	fibrillarin
602	3.66e-01	2.63e-03	0.7968	-3.0084055	-2.39695472	156.38	BCL3	BCL3 transcription coactivator
149986	3.66e-01	2.64e-03	0.1305	3.0070231	0.39233021	1645.51	LSM14B	LSM family member 14B
221895	3.77e-01	2.84e-03	0.292	-2.9844225	-0.87136311	300.32	JAZF1	JAZF zinc finger 1
105370504	3.77e-01	2.85e-03	0.75	-2.9834856	-2.23764393	17.7	LOC105370504	uncharacterized LOC105370504
23589	3.77e-01	2.90e-03	0.1187	2.9786179	0.35358782	2648.28	CARHSP1	calcium regulated heat stable protein 1
105372717	3.77e-01	2.94e-03	0.6337	-2.9742856	-1.88472558	45.14	LOC105372717	uncharacterized LOC105372717
10149	3.77e-01	2.90e-03	0.4901	-2.9779073	-1.45941748	624.36	ADGRG2	adhesion G protein-coupled receptor G2
65109	3.77e-01	2.93e-03	0.126	2.9749478	0.37476923	1310.92	UPF3B	UPF3B regulator of nonsense mediated mRNA decay
3899	3.89e-01	3.10e-03	0.2667	-2.9579773	-0.78901179	136.36	AFF3	ALF transcription elongation factor 3
7855	3.89e-01	3.16e-03	0.6184	-2.9521743	-1.82577089	5097.44	FZD5	frizzled class receptor 5
4076	3.89e-01	3.13e-03	0.129	2.9547512	0.38131011	11044.73	CAPRIN1	cell cycle associated protein 1
187	3.89e-01	3.16e-03	0.7642	-2.9514099	-2.25552789	45.22	APLNR	apelin receptor
84891	3.89e-01	3.06e-03	0.137	2.9620942	0.40582657	2862.93	ZSCAN10	zinc finger and SCAN domain containing 10
2064	3.89e-01	3.15e-03	0.3528	2.9523727	1.04165883	3804.41	ERBB2	erb-b2 receptor tyrosine kinase 2
84627	4.00e-01	3.27e-03	0.901	-2.9407427	-2.64957072	52.28	ZNF469	zinc finger protein 469
8407	4.03e-01	3.36e-03	0.5152	-2.9331648	-1.51124333	1710.8	TAGLN2	transgelin 2
8467	4.03e-01	3.37e-03	0.095	2.9316855	0.27854187	9064.7	SMARCA5	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5
23012	4.03e-01	3.33e-03	0.0979	-2.935803	-0.2872964	1465.33	STK38L	serine/threonine kinase 38 like
55022	4.03e-01	3.40e-03	0.3396	2.9294037	0.9949392	34.79	PID1	phosphotyrosine interaction domain containing 1
9015	4.08e-01	3.46e-03	0.1862	2.9238621	0.54431887	247.94	TAF1A	TATA-box binding protein associated factor, RNA polymerase I subunit A
6692	4.12e-01	3.52e-03	0.2105	-2.918607	-0.61422435	3927.21	SPINT1	serine peptidase inhibitor, Kunitz type 1
54602	4.21e-01	3.62e-03	0.159	-2.909646	-0.46266445	642.93	NDFIP2	Nedd4 family interacting protein 2
54811	4.43e-01	3.83e-03	0.1409	2.8916242	0.40755385	1297.28	ZNF562	zinc finger protein 562
126068	4.48e-01	3.90e-03	0.9885	-2.8861738	-2.85295927	78.68	ZNF441	zinc finger protein 441
84248	4.58e-01	4.02e-03	0.1404	-2.8768045	-0.40398666	1035.65	FYTTD1	forty-two-three domain containing 1
8717	4.71e-01	4.16e-03	0.9921	-2.8660928	-2.84354545	30.95	TRADD	TNFRSF1A associated via death domain
11320	4.74e-01	4.21e-03	0.5279	-2.8617677	-1.51070813	253.97	MGAT4A	alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A
9531	4.78e-01	4.32e-03	0.1325	-2.8536494	-0.37820502	530.23	BAG3	BAG cochaperone 3
2113	4.78e-01	4.29e-03	0.2799	-2.8560405	-0.79929638	1870.29	ETS1	ETS proto-oncogene 1, transcription factor
57332	4.78e-01	4.33e-03	0.7351	-2.8528302	-2.09710138	76.84	CBX8	chromobox 8
7812	4.80e-01	4.66e-03	0.0931	2.829939	0.2633328	21660.88	CSDE1	cold shock domain containing E1
85461	4.80e-01	4.63e-03	0.2306	-2.8317857	-0.65304738	522.79	TANC1	tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 1
23677	4.80e-01	4.44e-03	0.2045	-2.8452261	-0.58193638	2098.72	SH3BP4	SH3 domain binding protein 4
6599	4.80e-01	4.60e-03	0.1589	2.8335315	0.4503811	12582.66	SMARCC1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 1
132864	4.80e-01	4.62e-03	0.6749	-2.8324211	-1.91158334	227.96	CPEB2	cytoplasmic polyadenylation element binding protein 2
101927365	4.80e-01	4.63e-03	0.3334	2.8314262	0.9440456	33.24	PNISR-AS1	PNISR antisense RNA 1
83543	4.80e-01	4.59e-03	0.1565	2.8344987	0.44351169	3661.83	AIF1L	allograft inflammatory factor 1 like
105370363	4.80e-01	4.64e-03	0.5268	-2.8307757	-1.49129299	33	LOC105370363	uncharacterized LOC105370363
5411	4.80e-01	4.44e-03	0.1438	2.8451925	0.40907807	8060.63	PNN	pinin, desmosome associated protein
116444	4.80e-01	4.49e-03	0.1851	-2.8414016	-0.52599426	147.62	GRIN3B	glutamate ionotropic receptor NMDA type subunit 3B
23396	4.80e-01	4.43e-03	0.127	-2.8459109	-0.36143004	1128.63	PIP5K1C	phosphatidylinositol-4-phosphate 5-kinase type 1 gamma
105373271	4.84e-01	4.73e-03	0.595	-2.8250151	-1.68083644	12.29	LOC105373271	uncharacterized LOC105373271
57509	4.84e-01	4.74e-03	0.9484	-2.8238553	-2.67816674	320.86	MTUS1	microtubule associated scaffold protein 1
3664	4.85e-01	4.87e-03	0.2084	-2.8154402	-0.58670473	564.64	IRF6	interferon regulatory factor 6
441027	4.85e-01	4.84e-03	0.8094	-2.8172596	-2.28035304	244.4	TMEM150C	transmembrane protein 150C
57182	4.85e-01	4.83e-03	0.1333	2.8179129	0.37566062	1528.87	ANKRD50	ankyrin repeat domain containing 50
100507217	4.85e-01	4.86e-03	0.1896	2.8161933	0.53387527	738.24	CHASERR	CHD2 adjacent suppressive regulatory RNA
80306	4.87e-01	4.91e-03	0.1173	2.8126313	0.32993718	3061.55	MED28	mediator complex subunit 28
4774	4.96e-01	5.04e-03	0.5808	-2.8047783	-1.62908486	122.78	NFIA	nuclear factor I A
23678	4.96e-01	5.06e-03	0.5854	-2.8031536	-1.64096345	99.99	SGK3	serum/glucocorticoid regulated kinase family member 3
101928387	4.99e-01	5.12e-03	0.3661	2.7991303	1.02466057	30.46	LOC101928387	uncharacterized LOC101928387
84034	5.08e-01	5.25e-03	0.3951	-2.7913761	-1.1029028	413.45	EMILIN2	elastin microfibril interfacer 2
80854	5.09e-01	5.29e-03	0.1985	-2.7890748	-0.55374484	373.92	SETD7	SET domain containing 7, histone lysine methyltransferase
5054	5.10e-01	5.36e-03	0.4756	-2.7847345	-1.32455554	192.21	SERPINE1	serpin family E member 1
116236	5.10e-01	5.35e-03	0.6507	-2.7849121	-1.8121751	104.62	ABHD15	abhydrolase domain containing 15
11043	5.20e-01	5.48e-03	0.2122	-2.7771079	-0.58931904	151.02	MID2	midline 2
84661	5.20e-01	5.58e-03	0.1113	2.77154	0.30854251	874.27	DPY30	dpy-30 histone methyltransferase complex regulatory subunit
11098	5.20e-01	5.52e-03	0.236	-2.7748648	-0.6548371	155.73	PRSS23	serine protease 23
101927279	5.20e-01	5.55e-03	0.7386	-2.7732901	-2.04821408	15.86	EP300-AS1	EP300 antisense RNA 1
3428	5.25e-01	5.66e-03	0.7628	-2.7666034	-2.11032872	298.08	IFI16	interferon gamma inducible protein 16
2303	5.28e-01	5.72e-03	0.7309	-2.7632113	-2.01969428	15.25	FOXC2	forkhead box C2
492311	5.29e-01	5.77e-03	0.6235	-2.7608025	-1.72134424	39.39	IGIP	IgA inducing protein
11112	5.29e-01	5.81e-03	0.1382	-2.7584814	-0.38121941	880.89	HIBADH	3-hydroxyisobutyrate dehydrogenase
4801	5.29e-01	5.86e-03	0.1585	2.7555761	0.43679285	1403.35	NFYB	nuclear transcription factor Y subunit beta
2157	5.29e-01	5.84e-03	0.3275	2.7564783	0.90274619	83.42	F8	coagulation factor VIII
79586	5.39e-01	6.00e-03	0.1597	-2.7476571	-0.43886695	1347.2	CHPF	chondroitin polymerizing factor
79838	5.41e-01	6.06e-03	0.8859	-2.7445762	-2.43142709	100.17	TMC5	transmembrane channel like 5
163782	5.46e-01	6.96e-03	0.794	-2.6986875	-2.14285759	37.51	KANK4	KN motif and ankyrin repeat domains 4
79971	5.46e-01	6.82e-03	0.2973	-2.7056072	-0.80433662	134.33	WLS	Wnt ligand secretion mediator
9411	5.46e-01	6.66e-03	0.3151	-2.7133447	-0.85492249	313.07	ARHGAP29	Rho GTPase activating protein 29
9122	5.46e-01	6.51e-03	0.2883	2.7210825	0.78452107	69.12	SLC16A4	solute carrier family 16 member 4
23024	5.46e-01	6.71e-03	0.3254	-2.7107009	-0.88207137	394.43	PDZRN3	PDZ domain containing ring finger 3
26984	5.46e-01	6.70e-03	0.1641	-2.7114206	-0.44501724	209.93	SEC22A	SEC22 homolog A, vesicle trafficking protein
8087	5.46e-01	7.02e-03	0.1166	2.6957361	0.31443714	8559.01	FXR1	FMR1 autosomal homolog 1
7323	5.46e-01	6.76e-03	0.0861	2.7083616	0.23325515	6437.14	UBE2D3	ubiquitin conjugating enzyme E2 D3
1601	5.46e-01	6.45e-03	0.2701	-2.7237918	-0.73569995	157.2	DAB2	DAB adaptor protein 2
79685	5.46e-01	6.98e-03	0.2514	-2.6975909	-0.67806755	448.18	SAP30L	SAP30 like
114825	5.46e-01	6.71e-03	0.2181	2.7109337	0.59115976	1824.22	PWWP2A	PWWP domain containing 2A
102216342	5.46e-01	6.72e-03	0.5146	-2.7106506	-1.39493721	32.85	LINC01108	long intergenic non-protein coding RNA 1108
392617	5.46e-01	6.58e-03	0.6703	-2.7174606	-1.8215242	247.88	ELFN1	extracellular leucine rich repeat and fibronectin type III domain containing 1
54504	5.46e-01	7.02e-03	0.2369	-2.6959842	-0.63859139	830.16	CPVL	carboxypeptidase vitellogenic like
7979	5.46e-01	6.90e-03	0.2578	2.7016755	0.69660196	2033	SEM1	SEM1 26S proteasome subunit
9311	5.46e-01	6.43e-03	0.4773	-2.7250372	-1.30057228	55.8	ASIC3	acid sensing ion channel subunit 3
80346	5.46e-01	6.27e-03	0.2585	-2.7334017	-0.70649548	534.67	REEP4	receptor accessory protein 4
23516	5.46e-01	6.99e-03	0.1065	2.6975051	0.2872641	4382.21	SLC39A14	solute carrier family 39 member 14
6867	5.46e-01	7.05e-03	0.4223	-2.6944596	-1.13781193	767.3	TACC1	transforming acidic coiled-coil containing protein 1
138255	5.46e-01	6.94e-03	0.6922	-2.6997684	-1.86869523	413.97	CFAP95	cilia and flagella associated protein 95
387646	5.46e-01	6.82e-03	0.4374	-2.7052977	-1.18330318	38.11	LRRC37A6P	leucine rich repeat containing 37 member A6, pseudogene
100507533	5.46e-01	6.62e-03	0.8019	-2.715415	-2.17746925	59.06	SOX21-AS1	SOX21 antisense divergent transcript 1
23348	5.46e-01	6.45e-03	0.6536	-2.7241828	-1.78044935	1340.44	DOCK9	dedicator of cytokinesis 9
145581	5.46e-01	6.73e-03	0.9638	-2.7101376	-2.61211221	53.77	LRFN5	leucine rich repeat and fibronectin type III domain containing 5
388165	5.46e-01	6.99e-03	0.41	-2.6970857	-1.10575419	31.83	UBE2Q2P1	UBE2Q2 pseudogene 1
93649	5.46e-01	6.79e-03	0.5348	-2.7068952	-1.447641	11.91	MYOCD	myocardin
4213	5.46e-01	6.15e-03	0.239	-2.7394103	-0.65481181	248.56	MEIS3P1	Meis homeobox 3 pseudogene 1
124930	5.46e-01	6.81e-03	0.2987	2.705989	0.80816684	317.66	ANKRD13B	ankyrin repeat domain 13B
113278	5.46e-01	6.59e-03	0.6453	-2.7167074	-1.752962	302.21	SLC52A3	solute carrier family 52 member 3
60489	5.46e-01	6.98e-03	0.7596	-2.6976993	-2.04908406	121.63	APOBEC3G	apolipoprotein B mRNA editing enzyme catalytic subunit 3G
163486	5.48e-01	7.24e-03	0.3342	-2.6855934	-0.89756722	287.6	DENND1B	DENN domain containing 1B
100526664	5.48e-01	7.22e-03	0.2522	-2.6863352	-0.67752039	177.67	LY75-CD302	LY75-CD302 readthrough
760	5.48e-01	7.17e-03	0.9854	-2.6889277	-2.64973472	201.8	CA2	carbonic anhydrase 2
102724015	5.48e-01	7.15e-03	0.3681	2.6897353	0.98996581	26.77	SIPA1L1-AS1	SIPA1L1 antisense RNA 1
5026	5.48e-01	7.21e-03	0.4044	2.6871929	1.08682502	44.84	P2RX5	purinergic receptor P2X 5
377841	5.49e-01	7.28e-03	1.1192	-2.6838254	-3.00370722	39.7	ENTPD8	ectonucleoside triphosphate diphosphohydrolase 8
